,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Leontopodium alpinum,Leontopodium,alpinum,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leontopodium nivale,Leontopodium,nivale,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leontopodium stoechas,Leontopodium,stoechas,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leonurus cardiaca,Leonurus,cardiaca,"16,20",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Lepidium campestre,Lepidium,campestre,"16,20",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Lepidium cartilagineum,Lepidium,cartilagineum,"11,20",monad,colpate,-,isopolar,-,circular,-,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Lepidium crassifolium,Lepidium,crassifolium,"16,20",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Lepidium draba,Lepidium,draba,"16,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Lepidium ruderale,Lepidium,ruderale,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Lepismium houlletianum,Lepismium,houlletianum,"26,50",monad,colpate,-,heteropolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,hexa,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
Lepismium monacanthum,Lepismium,monacanthum,"51,100",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,perforate,rugulate,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
Lepismium trigonum,Lepismium,trigonum,"51,100",monad,colpate,-,heteropolar,-,circular,spheroidal,colpus,, pantoaperturate,-,viscin threads,-,hexa,panto,-,perforate,foveolate,-,-,-,-,-,Angiospermae,Caryophyllales,Cactaceae
