,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Anthurium radicans,Anthurium,radicans,"10,25",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Anthurium scherzerianum,Anthurium,scherzerianum,"26,50",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Anthyllis circinnata,Anthyllis,circinnata,"26,50",monad,,-,isopolar,oblate,polygonal,-,colporus,-,-,-,viscin threads,-,hexa,stephano,-,psilate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Anthyllis hermanniae,Anthyllis,hermanniae,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tetra,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Anthyllis montana,Anthyllis,montana,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,, brevicolporus,-,viscin threads,-,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Anthyllis vulneraria,Anthyllis,vulneraria,"36,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,angulaperturate, brevicolporus,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Anticharis ebracteata,Anticharis,ebracteata,"16,25",monad,,-,isopolar,prolate,circular,cylindric,colporus,-,-,-,viscin threads,-,,syn,-,psilate,-,-,-,-,-,-,Angiospermae,Lamiales,Scrophulariaceae
Antigonon leptopus,Antigonon,leptopus,"51,100",monad,colporate,-,-,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Polygonaceae
Antirrhinum majus,Antirrhinum,majus,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Gentianales,Plantaginaceae
Apera spica-venti,Apera,spica-venti,"26,50",monad,ulcerate,-,heteropolar,-,circular,spheroidal,ulcus,operculum, annulus,-,viscin threads,ubisch bodies,-,-,-,scabrate,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Aphelandra aurantiaca,Aphelandra,aurantiaca,"51,100",monad,colpate,-,isopolar,prolate,circular,-,colpus,margo,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Aphelandra golfodulcensis,Aphelandra,golfodulcensis,"51,100",monad,colpate,-,isopolar,prolate,circular,-,colpus,operculum,-,-,viscin threads,ubisch bodies,tri,-,-,rugulate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Aphelandra lingua-bovis,Aphelandra,lingua-bovis,"51,100",monad,colpate,-,isopolar,prolate,circular,-,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,bireticulate,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Aphelandra tetragona,Aphelandra,tetragona,"51,100",monad,colpate,-,isopolar,prolate,circular,-,colpus,,-,-,viscin threads,-,tri,-,-,bireticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Aphyllanthes monspeliensis,Aphyllanthes,monspeliensis,"51,100",monad,spiraperturate,-,isopolar,-,circular,spheroidal,spiral aperture(s),,-,-,viscin threads,-,spir,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Apium nodiflorum,Apium,nodiflorum,"10,25",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,rugulate,perforate,-,-,-,-,-,Angiospermae,Apiales,Apiaceae
Aponogeton gottlebei,Aponogeton,gottlebei,"10,25",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Alismatales,Aponogetonaceae
Aponogeton masoalaensis,Aponogeton,masoalaensis,"10,25",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,reticulum cristatum,-,-,-,-,-,Angiospermae,Alismatales,Aponogetonaceae
Aponogeton ulvaceus,Aponogeton,ulvaceus,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Alismatales,Aponogetonaceae
Aptenia cordifolia,Aptenia,cordifolia,"21,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Caryophyllales,Aizoaceae
Aptosimum spinescens,Aptosimum,spinescens,"26,30",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Lamiales,Scrophulariaceae
Aquilegia atrata,Aquilegia,atrata,"16,20",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Aquilegia einseleana,Aquilegia,einseleana,"16,25",monad,colpate,-,isopolar,-,circular,-,colpus,,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Aquilegia viscosa,Aquilegia,viscosa,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Aquilegia vulgaris,Aquilegia,vulgaris,"16,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Arabidopsis arenosa,Arabidopsis,arenosa,"16,25",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabidopsis halleri,Arabidopsis,halleri,"16,20",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabidopsis petraea,Arabidopsis,petraea,"16,25",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabidopsis thaliana,Arabidopsis,thaliana,"10,25",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis alpina,Arabis,alpina,"16,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis auriculata,Arabis,auriculata,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis caerulea,Arabis,caerulea,"16,20",monad,colpate,-,isopolar,prolate,circular,-,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis caucasica,Arabis,caucasica,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis gerardi,Arabis,gerardi,"16,20",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis glabra,Arabis,glabra,"16,20",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis hirsuta,Arabis,hirsuta,"16,20",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis pauciflora,Arabis,pauciflora,"16,20",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis pumila,Arabis,pumila,"21,25",monad,colpate,-,isopolar,isodiametric,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis soyeri,Arabis,soyeri,"21,25",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis stellulata,Arabis,stellulata,"26,50",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arabis turrita,Arabis,turrita,"16,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arachis hypogaea,Arachis,hypogaea,"21,30",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Arachnothryx monteverdensis,Arachnothryx,monteverdensis,"10,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,foveolate,perforate,-,-,-,-,-,Angiospermae,Gentianales,Rubiaceae
Araeococcus flagellifolius,Araeococcus,flagellifolius,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Araeococcus nigropurpureus,Araeococcus,nigropurpureus,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,-,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Araeococcus parviflorus,Araeococcus,parviflorus,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,-,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aratitiyopea lopezii,Aratitiyopea,lopezii,"101,101",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,clavate,-,-,-,-,-,-,Angiospermae,Poales,Xyridaceae
Arbutus unedo,Arbutus,unedo,"51,100",tetrad,tetrad,-,heteropolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Arctium lappa,Arctium,lappa,"36,40",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Arctium minus,Arctium,minus,"31,35",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Arctium tomentosum,Arctium,tomentosum,"36,40",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Arctostaphylos alpina,Arctostaphylos,alpina,"31,35",tetrad,tetrad,-,heteropolar,-,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Arctostaphylos uva-ursi,Arctostaphylos,uva-ursi,"31,40",tetrad,tetrad,colporate,heteropolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Arctotis stoechadifolia,Arctotis,stoechadifolia,"16,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Ardisia compressa,Ardisia,compressa,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia crenata,Ardisia,crenata,"10,25",monad,,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia elliptica,Ardisia,elliptica,"16,20",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia glandulosomarginata,Ardisia,glandulosomarginata,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia humilis,Ardisia,humilis,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia mamillata,Ardisia,mamillata,"10,25",monad,,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia pleurobotrya,Ardisia,pleurobotrya,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia squamulosa,Ardisia,squamulosa,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,foveolate,free standing columellae,-,-,-,-,Angiospermae,Ericales,Primulaceae
Ardisia willisii,Ardisia,willisii,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Ericales,Primulaceae
Arenaria biflora,Arenaria,biflora,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria ciliata,Arenaria,ciliata,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria conimbricensis,Arenaria,conimbricensis,"26,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria gracilis,Arenaria,gracilis,"26,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria procera,Arenaria,procera,"26,30",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria pungens,Arenaria,pungens,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,-,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria purpurascens,Arenaria,purpurascens,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria serpens,Arenaria,serpens,"31,35",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,-,panto,panto,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria serpyllifolia,Arenaria,serpyllifolia,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenaria tetraquetra,Arenaria,tetraquetra,"36,40",monad,porate,-,-,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Caryophyllales,Caryophyllaceae
Arenga pinnata,Arenga,pinnata,"26,50",monad,sulcate,-,heteropolar,-,circular,spheroidal,sulcus,margo,-,-,viscin threads,ubisch bodies,-,-,-,echinate,-,-,-,-,-,-,Angiospermae,Arecales,Arecaceae
Arenifera pillansii,Arenifera,pillansii,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Caryophyllales,Aizoaceae
Argemone mexicana,Argemone,mexicana,"31,40",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Ranunculales,Papaveraceae
Argyranthemum frutescens,Argyranthemum,frutescens,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Argyreia nervosa,Argyreia,nervosa,"51,100",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,echinate,reticulate,-,-,-,-,-,Angiospermae,Solanales,Convolvulaceae
Argyroderma congregatum,Argyroderma,congregatum,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,ubisch bodies,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Caryophyllales,Aizoaceae
Argyrolobium zanonii,Argyrolobium,zanonii,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,margo,-,-,viscin threads,-,tri,-,-,reticulate,perforate,free standing columellae,-,-,-,-,Angiospermae,Fabales,Fabaceae
Arisaema nepenthoides,Arisaema,nepenthoides,"21,25",monad,inaperturate,-,-,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,echinate,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Aristolochia arborea,Aristolochia,arborea,"26,50",monad,-,-,isopolar,-,circular,spheroidal,-,-,-,-,viscin threads,-,in,-,-,verrucate,foveolate,perforate,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia clematitis,Aristolochia,clematitis,"36,50",monad,inaperturate,-,-,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia fimbriata,Aristolochia,fimbriata,"26,50",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,verrucate,perforate,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia manshuriensis,Aristolochia,manshuriensis,"26,50",monad,inaperturate,-,-,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,fossulate,perforate,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia pistolochia,Aristolochia,pistolochia,"26,50",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,-,-,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia rotunda,Aristolochia,rotunda,"26,50",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia salvadorensis,Aristolochia,salvadorensis,"26,50",monad,inaperturate,-,-,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,verrucate,perforate,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia sempervirens,Aristolochia,sempervirens,"26,50",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,perforate,-,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristolochia tricaudata,Aristolochia,tricaudata,"26,50",monad,inaperturate,-,-,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,verrucate,perforate,-,-,-,-,-,Angiospermae,Piperales,Aristolochiaceae
Aristotelia chilensis,Aristotelia,chilensis,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Oxalidales,Elaeocarpaceae
Armeria alpina,Armeria,alpina,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,ubisch bodies,tri,-,-,echinate,reticulate,reticulum cristatum,echinate,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Armeria elongata,Armeria,elongata,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,reticulum cristatum,echinate,reticulate,homobrochate,reticulum cristatum,echinate,Angiospermae,Caryophyllales,Plumbaginaceae
Armeria juniperifolia,Armeria,juniperifolia,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,reticulum cristatum,echinate,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Armeria maritima,Armeria,maritima,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulum cristatum,-,-,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Armeria pinifolia,Armeria,pinifolia,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,reticulum cristatum,-,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Armeria villosa,Armeria,villosa,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,reticulum cristatum,echinate,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Armoracia rusticana,Armoracia,rusticana,"16,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Brassicales,Brassicaceae
Arnebia pulchra,Arnebia,pulchra,"26,50",monad,,-,isopolar,oblate,polygonal,-,colporus,-,-,-,viscin threads,ubisch bodies,panto,stephano,-,psilate,perforate,-,-,-,-,-,Angiospermae,-,Boraginaceae
Arnica montana,Arnica,montana,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Arnoseris minima,Arnoseris,minima,"26,50",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Aronia melanocarpa,Aronia,melanocarpa,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,striate,perforate,-,-,-,-,-,Angiospermae,Rosales,Rosaceae
Arophyton buchetii,Arophyton,buchetii,-,monad,inaperturate,-,-,-,-,-,inaperturate,-,-,-,viscin threads,-,in,-,-,echinate,-,-,-,-,-,-,Angiospermae,Alismatales,Araceae
Arrhenaterum elatius,Arrhenaterum,elatius,"26,50",monad,ulcerate,-,heteropolar,prolate,circular,-,ulcus,operculum, annulus,-,viscin threads,ubisch bodies,-,-,-,-,-,-,-,-,-,-,Angiospermae,Poales,Poaceae
Artabotrys hexapetalus,Artabotrys,hexapetalus,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,-,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Magnoliales,Annonaceae
Artemisia absinthium,Artemisia,absinthium,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,gemmate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia alba,Artemisia,alba,"21,35",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,gemmate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia alpina,Artemisia,alpina,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,granulate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia annua,Artemisia,annua,"16,25",monad,colporate,-,isopolar,-,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,verrucate,gemmate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia austriaca,Artemisia,austriaca,"16,25",monad,colporate,-,isopolar,-,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,verrucate,gemmate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia campestris,Artemisia,campestris,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,gemmate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia dracunculus,Artemisia,dracunculus,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,granulate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia genipi,Artemisia,genipi,"21,30",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,granulate,perforate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia glacialis,Artemisia,glacialis,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia laciniata,Artemisia,laciniata,"16,25",monad,colporate,-,isopolar,-,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,verrucate,gemmate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Artemisia monogyna,Artemisia,monogyna,"16,20",monad,colporate,-,isopolar,oblate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,verrucate,gemmate,-,-,-,-,Angiospermae,Asterales,Asteraceae
