,img_h,error,Clump,Misread,Area,Perimeter,Solidity,Major_axis_length,Minor_axis_length,Equivalent_diameter,Eccentricity,Extent,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Correlation,Bounding_box,Entropy
Acer saccharinum1-1,972,1,0,1,3546,346.3086579,0.840882144,162.0431246,31.38579704,67.19306084,0.981063192,0.666541353,1111.561916,10.32786578,0.465425395,0.089916515,0.299387739,0.941518537,"(476, 664, 628, 699)",5.23362323
Achillea asiatica1-2,972,1,0,1,1272,154.9533188,0.877241379,48.82670493,35.94688208,40.24376599,0.676749289,0.683136412,1467.179571,9.745836372,0.568613181,0.079797381,0.282299921,0.888123263,"(270, 1088, 308, 1137)",3.89559329
Achillea millefolium1-1,972,1,1,0,98601,1659.066197,0.842837238,549.7781647,253.0187195,354.3200423,0.887805083,0.56136845,105.1645479,2.171463858,0.637274839,0.188715842,0.434412743,0.969954811,"(33, 872, 509, 1241)",4.5890442
Achillea millefolium1-1,972,0,0,0,47087,865.920923,0.959627456,255.2763986,239.8991098,244.8530793,0.341828918,0.705423221,202.1353803,2.686852701,0.583961293,0.082768215,0.287686885,0.94827491,"(313, 277, 563, 544)",5.299050007
Achillea millefolium1-1,972,0,0,0,55667,1016.129076,0.924654918,271.9577793,263.0147342,266.228146,0.254335486,0.690255062,103.98347,2.595034183,0.559325027,0.092534914,0.304190009,0.957407903,"(600, 701, 887, 982)",5.117364477
Achillea millefolium1-1,972,1,0,1,1505,178.2081528,0.956770502,78.62976034,24.87017427,43.77471319,0.948660993,0.458422175,320.3330351,5.377150032,0.620374796,0.26755479,0.517216818,0.822815738,"(731, 642, 798, 691)",3.809637696
Achillea ptarmica1-1,972,1,0,1,1575,181.0365799,0.964482547,80.20711713,25.48315155,44.78115991,0.948185642,0.460930641,353.3779228,5.63815508,0.616270018,0.265830619,0.51554449,0.828194045,"(731, 641, 798, 692)",3.87776877
Aconitum barbatum1-1,972,0,0,0,33807,727.038672,0.984478742,209.7050847,205.9314939,207.4714662,0.188853623,0.766616023,225.7671413,4.011917131,0.543420068,0.051290198,0.226458788,0.979464306,"(180, 459, 391, 668)",6.147407082
Aconitum barbatum1-2,972,1,0,1,2246,278.3797257,0.707624449,75.19675163,59.0400305,53.47612568,0.619317427,0.466168535,1235.062786,8.58930641,0.641377451,0.258370676,0.508259246,0.942722998,"(331, 527, 404, 593)",3.752720017
Aconitum cammarum1-1,972,0,0,0,47180,812.1219331,0.994288845,252.640805,237.8469614,245.0947607,0.337171691,0.776855694,161.271713,6.496376818,0.344162158,0.045271844,0.212762035,0.977527158,"(212, 339, 453, 591)",6.544969387
Aconitum cammarum1-1,972,0,0,0,46690,812.9087297,0.988713127,251.1183993,237.6811255,243.8186915,0.322732302,0.784877368,147.7310791,5.874202403,0.365747207,0.043269615,0.208004924,0.980163657,"(329, 957, 566, 1208)",6.559897196
Aconitum cammarum1-1,972,0,0,0,44980,833.5655839,0.982031745,242.5527439,238.5181823,239.31217,0.181633746,0.755509272,196.1018746,5.999520317,0.382809749,0.055002672,0.234516683,0.968873386,"(552, 114, 796, 358)",6.299222143
Aconitum cammarum1-1,972,1,0,1,1743,194.9360749,0.935587762,83.52914299,27.33580562,47.10898562,0.944934091,0.442161339,286.6586373,5.174492479,0.633052835,0.285031967,0.533843265,0.822829038,"(727, 639, 800, 693)",3.726233828
Aconitum septentrionale1-1,972,0,0,0,38312,737.2518754,0.993362373,238.5110124,204.6704413,220.862748,0.513453591,0.759721589,145.4507893,4.567007944,0.409303829,0.051075328,0.225985893,0.97286693,"(292, 591, 531, 802)",6.276593525
Aconitum septentrionale1-1,972,1,0,1,1693,188.4507935,0.947397874,81.97710936,26.69559863,46.42838086,0.945491428,0.46510989,700.1149596,7.839951019,0.593304761,0.245332713,0.495250954,0.716526135,"(730, 641, 800, 693)",4.058008343
Acorus calamus1-1,972,1,0,1,1311,234.0893578,0.579319487,57.44069558,38.99403843,40.85605271,0.73427018,0.485016648,874.7808803,8.371041684,0.689649198,0.222286055,0.471364193,0.836128658,"(132, 198, 185, 249)",3.319111957
Acorus calamus1-1,972,1,0,1,1332,155.1604256,0.862135922,50.3860295,37.25620108,41.18197511,0.673249594,0.578376031,918.4761824,8.547288567,0.626435475,0.13029072,0.360839342,0.884613456,"(746, 79, 795, 126)",3.923114183
Acorus calamus1-2,972,1,0,1,5163,401.1909089,0.784650456,112.9149369,68.77772247,81.07857775,0.793085035,0.51337377,539.3288535,7.344324208,0.552923716,0.176860717,0.420494785,0.929289698,"(66, 591, 179, 680)",4.467190971
Acorus calamus1-2,972,0,0,0,53215,879.6194078,0.99278012,300.2839973,226.1723572,260.298756,0.657797487,0.741941331,170.3975769,4.256604984,0.446895943,0.059649408,0.24422275,0.977924503,"(675, 823, 953, 1081)",6.319420526
Acorus calamus1-2,972,0,0,0,15323,747.1208871,0.773185993,240.533742,90.03182447,139.677663,0.927307592,0.509815012,371.1771957,6.687673383,0.542311498,0.207353734,0.455340131,0.960440176,"(733, 494, 869, 715)",4.772180163
Acourtia hooveri1-1,972,0,0,0,70885,1136.673232,0.934997955,325.7362725,286.4629637,300.4223446,0.476024182,0.695155438,94.49506468,1.801855572,0.68613657,0.092439297,0.304030728,0.95548395,"(431, 678, 740, 1008)",4.807549298
